,id,price1
0,2242,455.0
1,20532,309.0
2,10648,455.0
3,20677,1077.0
4,12593,455.0
5,11159,455.0
6,10680,849.0
7,6433,2581.0
8,2794,266.0
9,11579,849.0
10,13859,244.0
11,12260,455.0
12,18254,455.0
13,19453,455.0
14,8121,592.0
15,9791,513.0
16,7402,1560.0
17,3205,342.0
18,14489,333.0
19,10607,610.0
20,3659,588.0
21,7625,502.0
22,12862,2696.0
23,13985,451.0
24,10206,455.0
25,6889,1915.0
26,17791,550.0
27,8920,2355.0
28,15762,455.0
29,9762,342.0
30,15247,900.0
31,14490,309.0
32,3545,309.0
33,4122,455.0
34,9075,509.0
35,17580,455.0
36,15546,530.0
37,16679,383.0
38,7800,455.0
39,10314,309.0
40,20247,455.0
41,10068,1191.0
42,971,455.0
43,3832,448.0
44,6052,2093.0
45,12718,2828.0
46,11469,455.0
47,10655,455.0
48,5933,455.0
49,7000,509.0
50,18084,588.0
51,20918,2355.0
52,16193,588.0
53,6116,1999.0
54,7581,313.0
55,2214,455.0
56,19489,455.0
57,2592,1077.0
58,14541,1077.0
59,5584,455.0
60,20002,550.0
61,341,2576.0
62,10363,550.0
63,12292,383.0
64,19769,493.0
65,4521,266.0
66,8402,293.0
67,8485,383.0
68,7561,342.0
69,9885,333.0
70,2582,455.0
71,8209,293.0
72,13611,513.0
73,13591,383.0
74,9676,333.0
75,13851,588.0
76,16691,502.0
77,17785,513.0
78,18685,455.0
79,3369,654.0
80,16066,654.0
81,3003,654.0
82,18981,266.0
83,13554,550.0
84,11588,455.0
85,16379,2268.0
86,12575,502.0
87,9249,244.0
88,15449,309.0
89,20597,455.0
90,12342,849.0
91,9065,455.0
92,17968,455.0
93,17803,849.0
94,13495,455.0
95,11078,1795.0
96,19475,550.0
97,19860,480.0
98,805,455.0
99,1,513.0
100,13151,455.0
101,4133,865.0
102,446,550.0
103,18830,1147.0
104,7909,455.0
105,13969,950.0
106,6901,2355.0
107,3961,4152.0
108,10150,1429.0
109,4490,502.0
110,5897,293.0
111,20844,455.0
